Room_Type,Day_Type,Season,Guests,Extra_Guests,Base_Price
AC Suite Room With Jacuzzi,Weekend,Festival,5,0,10622
AC Executive Suite Room,Weekday,Festival,6,3,13452
AC Deluxe Cottage,Weekday,New Year,2,1,9174
AC Cottage,Weekend,New Year,2,0,7338
AC Suite Room With Jacuzzi,Weekend,Summer,2,1,8525
AC Cottage,Weekday,Festival,1,3,5424
AC Executive Rooms,Weekday,Festival,2,3,7124
AC Suite Room With Jacuzzi,Weekday,Normal,4,1,6180
AC Executive Rooms,Weekend,Normal,1,0,4733
AC Suite Room With Jacuzzi,Weekend,New Year,5,2,14945
AC Deluxe Cottage,Weekend,New Year,2,1,9261
AC Deluxe Cottage,Weekend,Monsoon,1,2,4192
AC Executive Rooms,Weekend,Summer,2,3,5039
AC Executive Suite Room,Weekday,Monsoon,6,2,7914
AC Executive Rooms,Weekday,Summer,1,1,5196
AC Suite Room With Jacuzzi,Weekday,Normal,4,3,6338
AC Executive Rooms,Weekend,Festival,1,1,7426
AC Deluxe Cottage,Weekend,New Year,1,3,8988
AC Cottage,Weekend,Monsoon,2,3,3751
AC Executive Rooms,Weekday,Festival,1,2,7223
AC Deluxe Cottage,Weekday,Festival,2,3,7370
AC Suite Room With Jacuzzi,Weekend,Summer,5,0,9428
AC Deluxe Cottage,Weekday,Normal,2,1,4443
AC Deluxe Cottage,Weekday,Normal,2,3,4167
AC Suite Room With Jacuzzi,Weekend,Monsoon,3,3,5784
AC Deluxe Cottage,Weekend,Normal,2,0,4883
AC Executive Rooms,Weekday,Monsoon,1,0,4199
AC Cottage,Weekday,Summer,1,0,4518
AC Suite Room With Jacuzzi,Weekday,Summer,4,0,9077
AC Suite Room With Jacuzzi,Weekend,Monsoon,3,1,6120
AC Executive Rooms,Weekday,Summer,2,0,5296
AC Cottage,Weekend,New Year,2,3,7464
AC Suite Room With Jacuzzi,Weekday,New Year,6,1,13208
AC Executive Suite Room,Weekday,New Year,1,2,16091
AC Deluxe Cottage,Weekend,Normal,2,0,4934
AC Deluxe Cottage,Weekend,Normal,2,2,4825
AC Deluxe Cottage,Weekday,Festival,1,2,7315
AC Executive Rooms,Weekend,Festival,2,2,7165
AC Suite Room With Jacuzzi,Weekday,Monsoon,4,1,6268
AC Deluxe Cottage,Weekend,Monsoon,1,3,4235
AC Executive Suite Room,Weekday,Festival,4,2,13816
AC Executive Suite Room,Weekend,Monsoon,5,0,7529
AC Suite Room With Jacuzzi,Weekday,Summer,6,3,9000
AC Executive Rooms,Weekday,Festival,2,3,7405
AC Cottage,Weekday,Monsoon,1,3,3449
AC Executive Suite Room,Weekend,Festival,6,3,13763
AC Executive Rooms,Weekend,Monsoon,2,2,3956
AC Executive Suite Room,Weekday,Normal,4,2,7561
AC Executive Rooms,Weekday,Summer,1,3,5141
AC Executive Rooms,Weekend,Normal,1,2,4616
AC Executive Suite Room,Weekday,Monsoon,1,1,7280
AC Cottage,Weekday,New Year,2,1,7153
AC Deluxe Cottage,Weekday,Normal,2,3,4245
AC Deluxe Cottage,Weekend,Summer,1,2,5481
AC Deluxe Cottage,Weekday,Normal,2,3,4037
AC Executive Rooms,Weekday,Summer,1,2,5043
AC Suite Room With Jacuzzi,Weekday,New Year,4,1,14588
AC Executive Rooms,Weekend,Festival,2,2,7440
AC Executive Rooms,Weekend,Monsoon,1,0,4285
AC Suite Room With Jacuzzi,Weekday,Monsoon,6,0,5660
AC Suite Room With Jacuzzi,Weekday,New Year,1,1,13005
AC Deluxe Cottage,Weekend,New Year,2,2,8533
AC Suite Room With Jacuzzi,Weekend,Monsoon,6,3,5572
AC Suite Room With Jacuzzi,Weekend,New Year,6,1,13870
AC Cottage,Weekday,Summer,2,1,4236
AC Cottage,Weekday,Monsoon,2,3,3327
AC Deluxe Cottage,Weekend,Festival,2,3,7224
AC Cottage,Weekday,Festival,2,2,5026
AC Cottage,Weekday,New Year,1,2,7090
AC Cottage,Weekday,Festival,2,2,5185
AC Executive Rooms,Weekend,Festival,1,3,7178
AC Deluxe Cottage,Weekend,Monsoon,1,1,3968
AC Deluxe Cottage,Weekend,Monsoon,2,0,4032
AC Cottage,Weekend,Monsoon,2,0,3613
AC Executive Rooms,Weekday,New Year,2,3,8555
AC Suite Room With Jacuzzi,Weekend,New Year,4,3,14556
AC Cottage,Weekday,Monsoon,1,2,3648
AC Deluxe Cottage,Weekday,Normal,1,1,4159
AC Executive Rooms,Weekday,New Year,2,0,8730
AC Cottage,Weekend,Normal,1,3,4977
AC Executive Suite Room,Weekend,Festival,8,3,13249
AC Deluxe Cottage,Weekday,Festival,1,1,7442
AC Cottage,Weekend,Festival,2,2,5840
AC Cottage,Weekend,Monsoon,2,1,3657
AC Executive Rooms,Weekend,Monsoon,2,3,4033
AC Executive Suite Room,Weekday,Summer,7,1,12876
AC Deluxe Cottage,Weekday,Monsoon,2,3,3997
AC Suite Room With Jacuzzi,Weekend,Normal,2,2,8890
AC Cottage,Weekend,Normal,2,0,4869
AC Suite Room With Jacuzzi,Weekend,Summer,1,3,9300
AC Executive Suite Room,Weekend,New Year,7,0,16744
AC Executive Suite Room,Weekend,Monsoon,8,0,7632
AC Cottage,Weekday,Monsoon,1,0,3644
AC Cottage,Weekday,Festival,1,2,5925
AC Cottage,Weekday,Monsoon,1,2,3567
AC Executive Suite Room,Weekend,Summer,4,3,12579
AC Suite Room With Jacuzzi,Weekday,Summer,1,3,9134
AC Suite Room With Jacuzzi,Weekend,New Year,2,1,13944
AC Executive Suite Room,Weekend,Monsoon,1,3,7922
AC Executive Suite Room,Weekday,Normal,8,2,7800
AC Executive Suite Room,Weekend,Monsoon,8,2,7203
AC Deluxe Cottage,Weekend,Normal,1,3,4792
AC Executive Suite Room,Weekend,Monsoon,1,3,7281
AC Cottage,Weekday,New Year,2,2,7294
AC Suite Room With Jacuzzi,Weekend,Summer,6,1,9135
AC Executive Suite Room,Weekday,Normal,1,2,7903
AC Deluxe Cottage,Weekday,New Year,2,1,8592
AC Executive Suite Room,Weekend,Festival,3,1,13135
AC Executive Rooms,Weekend,New Year,2,1,8763
AC Deluxe Cottage,Weekend,Monsoon,1,3,4293
AC Cottage,Weekday,Summer,2,2,4246
AC Deluxe Cottage,Weekday,Monsoon,1,3,3988
AC Executive Suite Room,Weekend,Monsoon,2,1,7482
AC Cottage,Weekend,New Year,1,0,7150
AC Deluxe Cottage,Weekend,Festival,1,1,7023
AC Cottage,Weekend,Festival,1,0,5240
AC Executive Rooms,Weekday,Festival,2,2,7343
AC Executive Rooms,Weekend,New Year,1,3,9170
AC Cottage,Weekend,New Year,2,2,6533
AC Executive Suite Room,Weekday,Festival,8,1,13875
AC Executive Suite Room,Weekday,Monsoon,6,0,7407
AC Executive Suite Room,Weekday,Normal,8,0,7839
AC Suite Room With Jacuzzi,Weekday,Normal,3,1,6128
AC Executive Rooms,Weekday,Normal,1,1,4416
AC Suite Room With Jacuzzi,Weekend,Summer,5,0,8783
AC Suite Room With Jacuzzi,Weekday,New Year,3,1,13225
AC Cottage,Weekday,Normal,2,1,3801
AC Executive Suite Room,Weekday,Summer,5,0,12129
AC Deluxe Cottage,Weekday,Normal,2,3,4398
AC Executive Suite Room,Weekday,Festival,4,0,13744
AC Executive Rooms,Weekend,Festival,1,0,7245
AC Deluxe Cottage,Weekend,Normal,2,3,4537
AC Cottage,Weekend,New Year,1,0,6629
AC Executive Suite Room,Weekend,Festival,5,3,13517
AC Executive Rooms,Weekend,Normal,1,1,4720
AC Deluxe Cottage,Weekday,Festival,2,3,7204
AC Deluxe Cottage,Weekday,Monsoon,2,2,4140
AC Executive Suite Room,Weekend,Summer,8,0,12093
AC Cottage,Weekday,Festival,1,2,5831
AC Suite Room With Jacuzzi,Weekday,New Year,5,2,14372
AC Cottage,Weekend,Monsoon,2,0,3494
AC Executive Rooms,Weekend,Monsoon,1,1,3879
AC Deluxe Cottage,Weekday,Normal,2,2,4058
AC Executive Suite Room,Weekday,Festival,1,2,13029
AC Suite Room With Jacuzzi,Weekend,Monsoon,3,2,5506
AC Suite Room With Jacuzzi,Weekday,New Year,6,3,13142
AC Suite Room With Jacuzzi,Weekday,Normal,6,1,6385
AC Deluxe Cottage,Weekend,Monsoon,1,2,3959
AC Executive Suite Room,Weekday,Normal,3,1,7886
AC Executive Rooms,Weekday,Normal,2,3,4338
AC Deluxe Cottage,Weekend,New Year,2,3,8779
AC Suite Room With Jacuzzi,Weekday,Monsoon,4,0,5790
AC Executive Rooms,Weekend,New Year,2,0,8725
AC Deluxe Cottage,Weekday,Normal,1,2,4484
AC Suite Room With Jacuzzi,Weekday,Monsoon,3,2,5622
AC Cottage,Weekend,Festival,1,1,5389
AC Executive Rooms,Weekday,New Year,2,0,8906
AC Cottage,Weekend,Normal,2,0,4941
AC Executive Suite Room,Weekend,New Year,7,3,15592
AC Cottage,Weekend,Normal,2,1,4910
AC Executive Rooms,Weekend,Monsoon,1,3,4232
AC Cottage,Weekday,Festival,2,0,5405
AC Executive Suite Room,Weekend,Summer,6,1,12078
AC Executive Rooms,Weekday,New Year,1,2,8859
AC Suite Room With Jacuzzi,Weekday,Normal,2,2,6202
AC Suite Room With Jacuzzi,Weekday,Normal,2,3,6475
AC Executive Rooms,Weekend,New Year,2,2,8654
AC Deluxe Cottage,Weekday,Festival,2,2,7407
AC Executive Suite Room,Weekday,Monsoon,2,2,7472
AC Deluxe Cottage,Weekday,Normal,2,2,4039
AC Cottage,Weekend,Festival,1,3,5930
AC Executive Rooms,Weekday,Monsoon,2,1,4290
AC Cottage,Weekend,Normal,2,0,4758
AC Suite Room With Jacuzzi,Weekday,Summer,6,3,8949
AC Executive Rooms,Weekday,Monsoon,2,2,3998
AC Deluxe Cottage,Weekend,New Year,1,2,8567
AC Executive Suite Room,Weekday,New Year,7,2,15516
AC Executive Rooms,Weekday,Monsoon,1,1,4269
AC Executive Suite Room,Weekend,Festival,3,0,13317
AC Executive Rooms,Weekend,Monsoon,1,0,4130
AC Deluxe Cottage,Weekend,Normal,2,2,4592
AC Suite Room With Jacuzzi,Weekend,Festival,2,1,10281
AC Suite Room With Jacuzzi,Weekday,Monsoon,1,0,6177
AC Executive Suite Room,Weekday,New Year,7,1,15332
AC Suite Room With Jacuzzi,Weekday,Festival,1,3,10746
AC Suite Room With Jacuzzi,Weekend,New Year,3,3,13479
AC Executive Rooms,Weekday,Monsoon,2,1,3988
AC Executive Rooms,Weekend,Festival,2,3,7257
AC Executive Rooms,Weekend,Summer,1,1,5446
AC Executive Suite Room,Weekday,Festival,6,0,13728
AC Executive Rooms,Weekday,Monsoon,1,1,3939
AC Deluxe Cottage,Weekday,Festival,1,1,7418
AC Deluxe Cottage,Weekend,Normal,2,0,4702
AC Executive Rooms,Weekend,Summer,2,0,5191
AC Suite Room With Jacuzzi,Weekday,Monsoon,1,2,6310
AC Suite Room With Jacuzzi,Weekday,Normal,3,3,6712
AC Suite Room With Jacuzzi,Weekend,Festival,5,0,11855
AC Cottage,Weekday,Monsoon,1,1,3761
AC Executive Rooms,Weekend,Normal,2,1,4654
AC Cottage,Weekday,Summer,2,3,4232
AC Cottage,Weekend,New Year,1,1,7235
AC Suite Room With Jacuzzi,Weekend,Festival,1,2,10492
AC Executive Rooms,Weekend,Summer,1,2,5034
AC Executive Rooms,Weekday,Festival,2,0,7325
AC Deluxe Cottage,Weekend,Monsoon,1,2,4203
AC Cottage,Weekend,Summer,1,2,4268
AC Cottage,Weekend,New Year,2,1,7350
AC Deluxe Cottage,Weekend,Summer,1,0,5366
AC Deluxe Cottage,Weekday,Monsoon,1,0,4205
AC Suite Room With Jacuzzi,Weekday,Monsoon,3,3,6334
AC Executive Rooms,Weekend,Monsoon,1,1,3946
AC Executive Suite Room,Weekday,Monsoon,5,0,7818
AC Executive Suite Room,Weekend,Festival,8,3,13347
AC Suite Room With Jacuzzi,Weekend,Festival,3,2,11640
AC Cottage,Weekend,Normal,2,1,4779
AC Executive Suite Room,Weekend,Normal,2,2,11676
AC Executive Suite Room,Weekend,Festival,7,1,13706
AC Deluxe Cottage,Weekend,Festival,1,2,7314
AC Deluxe Cottage,Weekend,Normal,1,3,4686
AC Executive Rooms,Weekday,Normal,1,3,4017
AC Suite Room With Jacuzzi,Weekday,Summer,6,2,8870
AC Deluxe Cottage,Weekday,New Year,1,3,9471
AC Executive Suite Room,Weekend,Festival,2,1,13542
AC Executive Suite Room,Weekend,Monsoon,5,1,7983
AC Cottage,Weekday,Summer,2,3,4667
AC Executive Rooms,Weekday,Monsoon,2,3,3909
AC Executive Rooms,Weekend,Festival,1,0,7069
AC Cottage,Weekend,Summer,2,0,4614
AC Executive Suite Room,Weekend,Normal,5,2,11871
AC Suite Room With Jacuzzi,Weekday,Monsoon,5,1,5624
AC Suite Room With Jacuzzi,Weekday,Summer,4,0,8869
AC Executive Rooms,Weekend,Festival,1,0,7033
AC Executive Suite Room,Weekend,Festival,7,3,13843
AC Executive Rooms,Weekday,Summer,2,0,5230
AC Deluxe Cottage,Weekend,Summer,1,1,5221
AC Executive Rooms,Weekday,Normal,1,2,4084
AC Suite Room With Jacuzzi,Weekend,Summer,3,2,9366
AC Cottage,Weekend,Summer,2,1,4520
AC Executive Suite Room,Weekday,New Year,3,1,15350
AC Executive Rooms,Weekend,New Year,1,0,8583
AC Cottage,Weekend,Summer,2,0,4454
AC Executive Rooms,Weekend,Monsoon,2,1,4212
AC Deluxe Cottage,Weekend,Festival,1,0,7080
AC Deluxe Cottage,Weekend,Festival,2,1,7174
AC Executive Rooms,Weekday,Monsoon,2,2,4299
AC Deluxe Cottage,Weekday,Monsoon,1,2,3923
AC Deluxe Cottage,Weekday,Monsoon,2,1,3872
AC Cottage,Weekday,Monsoon,2,3,3454
AC Suite Room With Jacuzzi,Weekend,New Year,6,2,13388
AC Suite Room With Jacuzzi,Weekend,New Year,4,3,14800
AC Executive Suite Room,Weekend,Normal,2,3,11517
AC Deluxe Cottage,Weekday,Summer,2,0,5025
AC Executive Suite Room,Weekend,New Year,8,2,16099
AC Cottage,Weekday,Festival,1,2,5744
AC Executive Suite Room,Weekend,Monsoon,1,3,7052
AC Executive Rooms,Weekday,Monsoon,2,0,3997
AC Executive Rooms,Weekend,New Year,2,0,8631
AC Cottage,Weekend,Monsoon,2,2,3347
AC Suite Room With Jacuzzi,Weekend,New Year,1,0,13079
AC Suite Room With Jacuzzi,Weekend,Festival,5,3,10305
AC Executive Rooms,Weekday,Monsoon,2,1,4001
AC Executive Rooms,Weekend,New Year,2,3,9225
AC Executive Rooms,Weekend,Festival,1,2,7169
AC Cottage,Weekend,New Year,2,0,7111
AC Deluxe Cottage,Weekend,New Year,1,0,9097
AC Deluxe Cottage,Weekday,New Year,2,1,9341
AC Suite Room With Jacuzzi,Weekday,New Year,6,0,13390
AC Cottage,Weekend,Monsoon,2,1,3622
AC Suite Room With Jacuzzi,Weekend,New Year,5,3,14787
AC Cottage,Weekday,New Year,1,2,7178
AC Deluxe Cottage,Weekend,Monsoon,1,3,4267
AC Executive Rooms,Weekend,New Year,2,2,9124
AC Deluxe Cottage,Weekday,Summer,2,2,5115
AC Executive Suite Room,Weekend,Summer,8,2,12491
AC Executive Suite Room,Weekend,Monsoon,2,3,7917
AC Deluxe Cottage,Weekend,Summer,2,0,5147
AC Cottage,Weekend,Festival,2,3,5219
AC Suite Room With Jacuzzi,Weekend,New Year,6,2,13281
AC Cottage,Weekday,Summer,1,1,4526
AC Suite Room With Jacuzzi,Weekday,Normal,4,2,6734
AC Deluxe Cottage,Weekday,Summer,1,1,5208
AC Deluxe Cottage,Weekend,Summer,2,2,5146
AC Cottage,Weekday,New Year,1,0,7435
AC Suite Room With Jacuzzi,Weekend,Summer,1,3,9306
AC Deluxe Cottage,Weekday,Monsoon,1,0,3952
AC Executive Rooms,Weekday,Monsoon,2,3,4128
AC Executive Rooms,Weekend,Summer,2,2,5098
AC Cottage,Weekend,Summer,2,2,4567
AC Suite Room With Jacuzzi,Weekday,Monsoon,3,1,5679
AC Executive Rooms,Weekend,Festival,2,0,7205
AC Cottage,Weekday,Summer,2,2,4679
AC Suite Room With Jacuzzi,Weekday,Monsoon,4,1,5957
AC Executive Suite Room,Weekend,Monsoon,1,2,7669
AC Executive Suite Room,Weekday,Normal,2,3,7657
AC Suite Room With Jacuzzi,Weekend,New Year,6,2,14413
AC Cottage,Weekend,Monsoon,1,1,3336
AC Deluxe Cottage,Weekday,Festival,2,3,7359
AC Executive Rooms,Weekend,New Year,1,1,9196
AC Executive Rooms,Weekday,New Year,2,2,8579
AC Executive Rooms,Weekday,Normal,1,1,4084
AC Executive Suite Room,Weekend,Normal,4,3,11093
AC Executive Rooms,Weekend,Normal,2,1,4762
AC Deluxe Cottage,Weekend,New Year,1,3,9188
AC Executive Suite Room,Weekday,Festival,5,0,13763
AC Suite Room With Jacuzzi,Weekday,Normal,4,2,6717
AC Cottage,Weekday,Normal,2,0,3646
AC Deluxe Cottage,Weekday,Summer,2,2,5456
AC Deluxe Cottage,Weekend,Festival,2,0,7349
AC Executive Rooms,Weekday,Monsoon,1,1,4075
AC Deluxe Cottage,Weekday,Summer,1,0,5500
AC Executive Suite Room,Weekend,New Year,7,3,16686
AC Suite Room With Jacuzzi,Weekday,Festival,3,1,10564
AC Suite Room With Jacuzzi,Weekday,Normal,6,3,6629
AC Cottage,Weekday,Summer,1,0,4504
AC Cottage,Weekend,New Year,1,1,7258
AC Cottage,Weekend,Festival,1,1,5772
AC Cottage,Weekday,New Year,2,1,7335
AC Executive Rooms,Weekend,New Year,2,1,8809
AC Suite Room With Jacuzzi,Weekday,Festival,3,2,10124
AC Executive Rooms,Weekday,Festival,2,0,7497
AC Executive Suite Room,Weekend,New Year,6,3,15836
AC Suite Room With Jacuzzi,Weekend,Festival,2,3,10493
AC Suite Room With Jacuzzi,Weekend,Summer,4,0,9075
AC Deluxe Cottage,Weekend,New Year,1,3,8748
AC Executive Suite Room,Weekday,Monsoon,2,3,7867
AC Executive Suite Room,Weekday,New Year,4,0,15549
AC Deluxe Cottage,Weekday,Normal,1,1,4245
AC Suite Room With Jacuzzi,Weekend,Monsoon,1,1,6459
AC Suite Room With Jacuzzi,Weekday,Festival,2,1,10812
AC Suite Room With Jacuzzi,Weekend,Monsoon,4,3,6046
AC Executive Suite Room,Weekend,Monsoon,6,3,7477
AC Cottage,Weekend,Monsoon,1,2,3520
AC Deluxe Cottage,Weekday,New Year,1,1,8516
AC Executive Suite Room,Weekend,Monsoon,3,1,7337
AC Suite Room With Jacuzzi,Weekend,New Year,2,3,14127
AC Executive Suite Room,Weekend,Festival,8,3,13172
AC Executive Suite Room,Weekday,Summer,8,1,12938
AC Executive Rooms,Weekday,New Year,1,0,9467
AC Cottage,Weekday,Festival,1,1,5069
AC Suite Room With Jacuzzi,Weekday,Summer,5,3,8882
AC Cottage,Weekend,Festival,1,0,5544
AC Executive Rooms,Weekend,Normal,1,2,4774
AC Executive Suite Room,Weekday,New Year,7,1,15219
AC Cottage,Weekday,Summer,1,2,4617
AC Executive Suite Room,Weekend,Festival,2,2,13982
AC Deluxe Cottage,Weekend,New Year,1,1,8807
AC Cottage,Weekday,Normal,2,3,3693
AC Executive Rooms,Weekend,Normal,1,1,4542
AC Deluxe Cottage,Weekend,Monsoon,1,0,3917
AC Suite Room With Jacuzzi,Weekend,Monsoon,1,0,6200
AC Executive Suite Room,Weekday,Summer,6,0,12984
AC Suite Room With Jacuzzi,Weekday,Festival,1,2,10332
AC Executive Rooms,Weekday,New Year,2,2,8893
AC Suite Room With Jacuzzi,Weekday,New Year,6,2,13109
AC Cottage,Weekend,Summer,1,2,4509
AC Executive Rooms,Weekend,Monsoon,1,2,4201
AC Deluxe Cottage,Weekend,Summer,2,3,5221
AC Suite Room With Jacuzzi,Weekend,Normal,5,2,8817
AC Suite Room With Jacuzzi,Weekday,Normal,3,1,6389
AC Suite Room With Jacuzzi,Weekend,Monsoon,3,0,5593
AC Cottage,Weekend,Festival,2,2,5104
AC Suite Room With Jacuzzi,Weekday,Summer,4,3,9070
AC Executive Rooms,Weekend,Normal,1,0,4681
AC Executive Rooms,Weekday,New Year,2,3,8512
AC Executive Suite Room,Weekend,Festival,2,1,13585
AC Executive Rooms,Weekday,Festival,1,1,7137
AC Executive Suite Room,Weekend,Festival,3,0,13171
AC Deluxe Cottage,Weekend,Festival,2,3,7400
AC Cottage,Weekend,Monsoon,1,3,3400
AC Deluxe Cottage,Weekday,Summer,2,0,5485
AC Deluxe Cottage,Weekend,New Year,2,2,8950
AC Executive Suite Room,Weekend,New Year,3,2,15656
AC Executive Rooms,Weekday,Festival,2,1,7493
AC Deluxe Cottage,Weekend,Monsoon,2,1,3966
AC Deluxe Cottage,Weekend,Festival,2,0,7477
AC Executive Rooms,Weekday,New Year,1,0,9475
AC Deluxe Cottage,Weekday,Festival,2,0,7419
AC Deluxe Cottage,Weekend,Summer,2,1,5129
AC Suite Room With Jacuzzi,Weekend,Festival,1,3,11224
AC Deluxe Cottage,Weekend,New Year,2,0,9309
AC Executive Suite Room,Weekday,Normal,4,2,7585
AC Executive Rooms,Weekday,New Year,2,2,9488
AC Deluxe Cottage,Weekday,Normal,1,2,4113
AC Executive Rooms,Weekday,Festival,2,3,7237
AC Executive Rooms,Weekday,Monsoon,1,3,3853
AC Executive Suite Room,Weekend,Normal,2,1,11356
AC Executive Suite Room,Weekend,Festival,4,3,13356
AC Deluxe Cottage,Weekday,Festival,2,2,7034
AC Executive Suite Room,Weekday,Normal,1,2,7831
AC Cottage,Weekday,Summer,1,1,4369
AC Executive Rooms,Weekend,Festival,1,3,7322
AC Suite Room With Jacuzzi,Weekday,Festival,4,0,11510
AC Executive Rooms,Weekday,Festival,2,3,7002
AC Suite Room With Jacuzzi,Weekday,Monsoon,6,0,6091
AC Cottage,Weekday,Monsoon,2,1,3668
AC Cottage,Weekend,Festival,2,3,5625
AC Deluxe Cottage,Weekday,Monsoon,2,3,4116
AC Suite Room With Jacuzzi,Weekend,New Year,5,0,14376
AC Suite Room With Jacuzzi,Weekend,Normal,2,2,8119
AC Suite Room With Jacuzzi,Weekend,Summer,5,3,8928
AC Executive Rooms,Weekday,New Year,2,3,8690
AC Deluxe Cottage,Weekday,New Year,1,3,8795
AC Suite Room With Jacuzzi,Weekday,Monsoon,4,0,6386
AC Executive Suite Room,Weekday,Festival,3,1,13834
AC Deluxe Cottage,Weekend,Festival,2,3,7363
AC Deluxe Cottage,Weekend,Summer,1,0,5407
AC Suite Room With Jacuzzi,Weekend,Normal,3,1,8550
AC Executive Suite Room,Weekday,Festival,8,0,13586
AC Cottage,Weekend,New Year,2,0,7278
AC Deluxe Cottage,Weekday,Festival,1,1,7152
AC Cottage,Weekend,Monsoon,2,0,3649
AC Cottage,Weekday,Summer,2,3,4284
AC Executive Rooms,Weekday,Summer,1,0,5291
AC Executive Suite Room,Weekend,New Year,3,2,16441
AC Executive Suite Room,Weekend,New Year,5,0,15277
AC Deluxe Cottage,Weekday,Monsoon,1,1,3927
AC Suite Room With Jacuzzi,Weekend,Summer,6,3,9001
AC Suite Room With Jacuzzi,Weekend,Festival,4,3,10154
AC Cottage,Weekend,New Year,2,2,6965
AC Deluxe Cottage,Weekend,New Year,1,0,9248
AC Deluxe Cottage,Weekend,Normal,2,1,4995
AC Deluxe Cottage,Weekday,Festival,2,2,7424
AC Executive Suite Room,Weekend,New Year,3,3,16614
AC Executive Suite Room,Weekday,Normal,2,3,7508
AC Cottage,Weekday,Festival,2,0,5981
